id,name,reference,mandatory
"ETIM.V6.EF008867 A","EF008867 - Fluorescent colour","",""
"CAPTOP_MIN","Capacity Tolerance (Min)","",""
"COLCON10KH_NOM","Color Consistency 10000 h (Nom)","IF-500;IF-502",""
"ETIM.V7.EF009620 A","EF009620 - Type of UV radiation","",""
"COLCON10KH_MAX","Color Consistency 10000 h (Max)","IF-500;IF-502",""
"ETIM.V7.EF005381 L","EF005381 - With vacuum","",""
"DIMPOWER","Power consumption at dimming","",""
"GEARFAM","Gear family","",""
"ETIM.V7.EF005166 L","EF005166 - Suitable for cable tray","",""
"ETIM.V7.EF001358 L","EF001358 - Transformer integrated","",""
"ETIM.V7.EF012516 L","EF012516 - Socket with 3 contacts","",""
"XUCDM.COPY.FK_FG_LP_ENERGY_CERT","FG Energy Certifications","",""
"ETIM.V7.EF002337 A","EF002337 - Type of mirroring","",""
"ENRGYC24","California title 24","",""
"PLA-SON","Lamp Power On SON","",""
"LUMISTEPTM","Lumistep Dimming Time After Midpoint","",""
"ETIM.V7.EF000187 A","EF000187 - Voltage type","",""
"FADERATEDN","Fade Down Rate","",""
"ETIM.V7.EF009356 L","EF009356 - With radio control","",""
"CAPTOP_MAX","Capacity Tolerance (Max)","",""
"ETIM.V7.EF025754 L","EF025754 - With wheels","",""
"LM100K","Lumen maintenance at median useful life* 100000 h","",""
"ETIM.V6.EF000565 A","EF000565 - Material of fibre bundles","",""
"ETIM.V7.EF000955 L","EF000955 - Suitable for bus connection","",""
"Product.Creator.Initiator.Name","Global Initiator (name)","",""
"IMSImagesetIdentifier","IMSImagesetIdentifier","",""
"LM75K","Lumen maintenance at median useful life* 75000 h","",""
"DELTATNOM","Delta-T Normal Conditions","",""
"ACCPFC","Accessory PFC","",""
"PLA-SOX","Lamp Power On SOX","",""
"ETIM.V7.EF008786 L","EF008786 - Suitable for general lighting","",""
"XUCDM.COPY.IMSImagesetIdentifier","XUCDM.COPY.IMSImagesetIdentifier","",""
"RTLMPTYPGR","Lamp Type","",""
"ETIM.V7.EF000197 L","EF000197 - With movement sensor","",""
"XUCDM.COPY.GALImagesetIdentifier","XUCDM.COPY.GALImagesetIdentifier","",""
"ETIM.V7.EF005770 L","EF005770 - Suitable for moped","",""
"ELCPOWCNS","Electrical power consumption","",""
"LM50K","Lumen maintenance at median useful life* 50000 h","",""
"PLO-PL-L","Power Loss On PL-L","",""
"ETIM.V6.EF000416 R","EF000416 - Frequency","",""
"LSF16000","LSF 16000 h Rated","",""
"ETIM.V7.EF000278 L","EF000278 - With transformer","",""
"OUTPWIRLEN","Output Wire Length","",""
"vocab.assettype.minres.height","Minimum Resolution Height","",""
"COMPOUNDIND","Compund Indication","",""
"PLO-PL-C","Power Loss On PL-C","",""
